"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"SNX1",1030.88184495875,-0.405052927032899,0.109145087271013,0.000124367184097436,0.00112608233939652,"Downregulated"
"SNX11",88.9066223276606,1.13469009948643,0.310424891160378,3.0004292016415e-05,0.00034953264076032,"Upregulated"
"SNX13",681.516485701672,-0.666367919485803,0.169059419203061,2.55747958385703e-05,0.000307778819399053,"Downregulated"
"SNX16",161.229639682118,-0.758788261241416,0.209784028574935,6.97166911586848e-05,0.00069691080175604,"Downregulated"
"SNX21",35.4803230395122,-1.56244535825725,0.651841860534241,0.00100583020220642,0.00615364933006599,"Downregulated"
"SNX25",38.1060737457636,-1.11423199012426,0.718876253783017,0.00816724869742915,0.0325037504556058,"Downregulated"
"SNX27",574.344893784823,-0.767266872354809,0.158891146000291,3.57906561838749e-07,9.07385924851335e-06,"Downregulated"
"SNX30",572.594271167094,0.505292008357926,0.199416697686075,0.00487419412228254,0.0215828469145362,"Upregulated"
"SNX9",895.460494929216,0.907700738845831,0.280306863186772,0.000198480526485026,0.00166336789899033,"Upregulated"
"SOCS3",1052.80520304927,1.5184413695809,0.550003800990619,0.000361349571296443,0.00270388072304155,"Upregulated"
"SOCS4",616.785427754757,0.347637619897492,0.14318045528994,0.00949973826418055,0.0366617794706597,"Upregulated"
"SOCS7",459.063765624394,-0.933845845450059,0.139943733610268,4.75184714148402e-12,6.35299688532937e-10,"Downregulated"
"SORL1",5360.18191814625,-0.618870052808691,0.270976965173313,0.00662587145068627,0.0275770098490464,"Downregulated"
"SOS1",1674.57547571122,-1.66217538132543,0.188372477983172,9.49978985783558e-20,7.74142399224478e-17,"Downregulated"
"SOS1-IT1",38.6873423424729,-1.04355787863513,0.589608970213019,0.00678816236238186,0.0280865141458996,"Downregulated"
"SOS2",928.957808692628,-0.386921199434728,0.112803784885527,0.000377015687877676,0.00279543737723166,"Downregulated"
"SOX4",5191.89903007706,1.22849654163208,0.194889525158324,3.79494962934051e-11,4.03372503148473e-09,"Upregulated"
"SP140",46.0300107441979,1.29588205076515,0.931764028199633,0.00660837017282824,0.0275155812086642,"Upregulated"
"SP140L",452.233092645739,-0.426443629086062,0.189288040313172,0.0130575497215299,0.0466956764500011,"Downregulated"
"SPA17",79.4488276922455,1.00775784261388,0.363339291526364,0.000683125619144638,0.0045049436302205,"Upregulated"
"SPACA9",72.3536301710758,0.75688243185418,0.292823788755597,0.0020509197950819,0.0109405830589889,"Upregulated"
"SPAG5-AS1",46.5079563799651,1.03528128925784,0.46850863186916,0.00275885846667137,0.0138493238310786,"Upregulated"
"SPAG6",29.6057544564711,2.57863510487747,0.496877985418404,1.24571070103769e-08,5.22731757489468e-07,"Upregulated"
"SPATA13",611.334649811698,0.741343443586692,0.259579331027864,0.00101966436967786,0.0062186444612606,"Upregulated"
"SPATA2",383.864749903614,0.914397693515383,0.20062888895247,9.18565247256478e-07,1.93827460866832e-05,"Upregulated"
"SPATA5",458.730038857981,-0.843841998326189,0.1651119347664,6.97087130512788e-08,2.26361519249817e-06,"Downregulated"
"SPCS3",1755.03316469482,0.398774813800033,0.14814764728877,0.00448901461288788,0.0202478932710464,"Upregulated"
"SPECC1",1622.66224250974,-0.519388912549138,0.148689574552867,0.000194835458078921,0.00163924247497766,"Downregulated"
"SPECC1L",275.173075774911,-0.450014003458371,0.132667276799487,0.000371995556012694,0.00276660580184495,"Downregulated"
"SPEF2",242.260076759278,-1.0611031120563,0.317130379508039,0.000105410338451284,0.000978777602776353,"Downregulated"
"SPEG",31.6237721563949,-1.8970111607197,0.889228935262572,0.00137729058451948,0.00796807767845903,"Downregulated"
"SPG11",1435.55330728471,-1.08963273247155,0.172232335713324,3.11751997531963e-11,3.39958221245899e-09,"Downregulated"
"SPG20",1341.45447058269,-0.352709743441271,0.144576686910442,0.00965011636017039,0.0370773330201158,"Downregulated"
"SPHK1",60.1480050748082,1.2072364471758,0.563006598384695,0.00234925969786971,0.0122122968437559,"Upregulated"
