"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72312","rRNA processing","61/2457","205/11146",0.297560975609756,1.34986350596107,2.68846744188141,0.00572373417267626,0.0302251237223105,0.0221196394158262,"DDX21/DDX49/DIS3/ERI1/EXOSC2/EXOSC6/EXOSC9/FAU/KRR1/LTV1/NAT10/NHP2/NIP7/RBM28/RIOK3/RPL10/RPL10A/RPL13A/RPL14/RPL18/RPL19/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL27A/RPL28/RPL32/RPL35/RPL37/RPL37A/RPL4/RPL6/RPL7/RPL7A/RPL8/RPLP1/RPLP2/RPP40/RPS15/RPS16/RPS19/RPS2/RPS27A/RPS27L/RPS29/RPS5/RPS7/RPS8/RPSA/SNU13/TFB1M/TSR3/UBA52/UTP11/UTP14C/UTP20/UTP6/WDR3/WDR36",61
"R-HSA-1989781","PPARA activates gene expression","38/2457","117/11146",0.324786324786325,1.47336930242913,2.73704961143091,0.00573797586855292,0.0302251237223105,0.0221196394158262,"ABCA1/AHR/ALAS1/ARNT/CDK19/CHD9/CLOCK/CPT1A/FAM120B/FDFT1/G0S2/HDAC3/HMGCR/HMGCS1/MED10/MED11/MED12/MED13L/MED26/NCOA1/NCOA2/NCOA6/NFYA/NR1D1/PEX11A/PLIN2/PPARA/PPARGC1B/RGL1/RORA/RXRB/SMARCD3/SREBF1/SREBF2/TBL1X/TBL1XR1/TNFRSF21/TRIB3",38
"R-HSA-162599","Late Phase of HIV Life Cycle","43/2457","136/11146",0.316176470588235,1.43431133137015,2.70978398150148,0.00593358849751458,0.0311513396119515,0.0227974715957139,"CCNK/CDK7/CHMP2A/CHMP2B/CHMP4B/CHMP4C/CHMP6/CTDP1/ELOA/ELOC/FURIN/GTF2A1/GTF2B/GTF2E1/GTF2F2/GTF2H1/NCBP2/NELFE/NMT2/NUP35/NUP43/NUP93/PDCD6IP/POLR2C/POLR2E/POLR2L/POM121/PPIA/RAE1/RANBP1/RPS27A/SEC13/SSRP1/SUPT4H1/TAF10/TAF13/TAF4/TAF9/UBA52/UBAP1/UBB/UBC/VPS4A",43
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","33/2457","99/11146",0.333333333333333,1.51214217880885,2.7217214819164,0.00624373305949717,0.032670696241555,0.0239093817106117,"ACTB/ACTG1/AKT3/CALM1/CDC42/CTNNB1/CYBA/DOCK1/ELMO2/HSP90AA1/ITPR1/ITPR3/JUP/KRAS/MAPKAPK2/MAPKAPK3/NCKAP1L/NRAS/PIK3CA/PIK3CB/PIK3R1/PRKACB/PRKCA/PRKCZ/RAC1/RASA1/RHOA/ROCK2/SH2D2A/SPHK1/TRIB3/VAV1/VEGFA",33
"R-HSA-76046","RNA Polymerase III Transcription Initiation","15/2457","36/11146",0.416666666666667,1.89017772351106,2.84464881846343,0.00641468228953926,0.0334540549868355,0.0244826668074085,"BRF1/BRF2/GTF3A/GTF3C4/POLR1D/POLR2E/POLR2L/POLR3A/POLR3D/POLR3GL/POLR3H/POU2F1/SNAPC1/SNAPC2/SNAPC3",15
"R-HSA-111885","Opioid Signalling","31/2457","92/11146",0.33695652173913,1.52857850683938,2.7070819266177,0.00661536299716549,0.0343867878565533,0.025165268306049,"ADCY6/ADCY9/CALM1/CREB1/GNA11/GNA15/GNAI1/GNAI2/GNAI3/GNB1/GNB4/GNG11/GNG5/GNG7/ITPR1/ITPR3/KPNA2/NBEA/PDE1A/PDE4A/PDE4D/PLCB2/PLCB3/PPP1CA/PPP2CA/PPP2R1A/PPP3CB/PPP3R1/PRKACB/PRKCA/PRKCG",31
"R-HSA-381033","ATF6 (ATF6-alpha) activates chaperones","7/2457","12/11146",0.583333333333333,2.64624881291548,3.0340183658831,0.00689689979337465,0.0356151382772625,0.0260642114710794,"ATF4/CALR/DDIT3/HSP90B1/HSPA5/MBTPS2/NFYA",7
"R-HSA-4755510","SUMOylation of immune response proteins","7/2457","12/11146",0.583333333333333,2.64624881291548,3.0340183658831,0.00689689979337465,0.0356151382772625,0.0260642114710794,"EIF2AK2/NFKB2/NFKBIA/PIAS4/SUMO1/TOPORS/UBE2I",7
"R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","40/2457","126/11146",0.317460317460317,1.44013540838938,2.64203459377817,0.00720484705332128,0.0370837715979772,0.0271390007684445,"B2M/G3BP2/HLA-A/HLA-B/HLA-G/HSP90AA1/HSP90AB1/IFIH1/IFNAR1/IFNAR2/IKBKB/IL17RC/IRAK1/IRAK2/IRF7/ISG15/KPNA2/MAVS/NLRP3/NOD1/NUP35/NUP43/NUP93/PIK3C3/POM121/PTPN6/RAE1/RIPK2/RPS27A/SEC13/SEC24A/STAT1/TAB1/TRAF6/TRIM25/TRIM4/UBA52/UBB/UBC/UBE2N",40
"R-HSA-422356","Regulation of insulin secretion","27/2457","78/11146",0.346153846153846,1.57030149337842,2.68766385635906,0.00728255520065257,0.0373616431303837,0.0273423553736142,"ADCY6/ADRA2A/CACNA1A/CACNA1D/CHRM3/GNA11/GNA15/GNAI1/GNAI2/GNAS/GNB1/GNB4/GNG11/GNG5/GNG7/IQGAP1/ITPR1/ITPR3/MARCKS/PLCB2/PLCB3/PRKACB/PRKCA/RAP1A/SLC2A1/STX1A/STXBP1",27
"R-HSA-162587","HIV Life Cycle","46/2457","149/11146",0.308724832214765,1.40050752131289,2.61712468647459,0.00738899815990698,0.0377059870701943,0.0275943564523728,"CCNK/CDK7/CHMP2A/CHMP2B/CHMP4B/CHMP4C/CHMP6/CTDP1/ELOA/ELOC/FURIN/GTF2A1/GTF2B/GTF2E1/GTF2F2/GTF2H1/HMGA1/LIG4/NCBP2/NELFE/NMT2/NUP35/NUP43/NUP93/PDCD6IP/POLR2C/POLR2E/POLR2L/POM121/PPIA/RAE1/RANBP1/RPS27A/SEC13/SSRP1/SUPT4H1/TAF10/TAF13/TAF4/TAF9/UBA52/UBAP1/UBB/UBC/VPS4A/XRCC6",46
"R-HSA-201556","Signaling by ALK","13/2457","30/11146",0.433333333333333,1.9657848324515,2.81659533023762,0.00739755555853336,0.0377059870701943,0.0275943564523728,"FRS2/HDAC1/HDAC3/HIF1A/IL2RG/JAK3/MYC/PIK3CA/PIK3CB/PIK3R1/PRDM1/PTPN6/STAT3",13
"R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA","23/2457","64/11146",0.359375,1.63027828652829,2.68887724444049,0.00770314747236815,0.0390507491229607,0.0285784930924925,"CTNNB1/IKBKB/IRF7/MRE11/MYD88/NFKB1/NFKB2/NFKBIA/NFKBIB/NKIRAS2/POLR1D/POLR2E/POLR2L/POLR3A/POLR3D/POLR3GL/POLR3H/RPS27A/TICAM1/UBA52/UBB/UBC/XRCC6",23
"R-HSA-447115","Interleukin-12 family signaling","21/2457","57/11146",0.368421052631579,1.67131503973609,2.70193768790322,0.00773576744531031,0.0390507491229607,0.0285784930924925,"ARF1/CA1/CDC42/CFL1/CNN2/HNRNPDL/HSPA9/IL12RB1/IL23A/IL27RA/JAK2/LCP1/MIF/MSN/MTAP/PPIA/PSME2/RALA/STAT1/STAT3/TCP1",21
