"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-9692916","SARS-CoV-1 activates/modulates innate immune responses",36,0.632754279407519,1.94964468972954,0.000273283714823757,0.00312832089814512,0.00246738826819909,2398,"tags=44%, list=17%, signal=37%","IRAK2/IFIH1/NFKB1/NFKBIA/NLRP3/KPNA2/UBC/TRIM25/RPS27A/UBB/TRAF6/NMI/PPIB/UBA52/FKBP1A/TRAF3"
"R-HSA-983705","Signaling by the B Cell Receptor (BCR)",108,0.474594551367797,1.78443352310583,0.00027716485069542,0.00314716217563832,0.00248224887507359,3667,"tags=57%, list=26%, signal=43%","NFKBIE/NFKB1/NFKBIA/NFKBIB/REL/PSMD9/UBC/NRAS/PSMA1/PIK3R1/PSMB1/PSMA2/PSMD7/PSMB2/PTPN6/PPP3R1/KRAS/PSMC1/CALM1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/BCL10/CD79A/PSMD6/PSMB5/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/FKBP1A/PSME4/GRB2/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/ORAI2/PSMA6/SEM1/CALM3/PPIA/PSMD2/PSMC2/PSMD12/CHUK/RELA/MALT1/FYN/NCK1/LYN"
"R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",58,0.562649693051251,1.88906539413994,0.000299905161780504,0.0033781317422956,0.00266442059518679,4188,"tags=72%, list=30%, signal=51%","RPS16/RPS2/EIF3C/RPS27A/EIF4H/FAU/EIF3I/RPS27L/RPS7/RPS15/RPS5/EIF3K/RPS28/RPS8/RPS19/RPS4Y1/RPS13/RPS12/RPS29/EIF4EBP1/RPS9/RPS15A/RPS11/RPS21/EIF3D/RPS25/EIF3M/EIF3H/RPSA/RPS20/RPS14/RPS10/RPS26/EIF3L/EIF3G/PABPC1/EIF3J/EIF4E/RPS24/EIF3F/RPS23/RPS6"
"R-HSA-69541","Stabilization of p53",53,0.58270082526017,1.93213812227264,0.000314455789028277,0.00351391865834773,0.0027715192767321,3507,"tags=72%, list=25%, signal=54%","PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/PSME4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PSMD2/PSMC2/PSMD12"
"R-HSA-109581","Apoptosis",150,0.425043723768393,1.69148206855057,0.00033611597100269,0.00372638808796683,0.00293909945634346,3242,"tags=47%, list=23%, signal=37%","PMAIP1/BMF/LMNA/TNFSF10/TICAM1/PSMD9/UBC/DAPK2/VIM/FAS/PSMA1/STK24/PSMB1/PSMA2/TNFRSF10B/PSMD7/PSMB2/YWHAG/PPP3R1/YWHAH/YWHAQ/STK26/PSMC1/CTNNB1/RPS27A/TP53BP2/PSMB3/C1QBP/UBB/PSMB7/PSMC4/PPP1R13B/PSMD8/PSMD3/BCL2L11/PSME3/BBC3/OPA1/PSMD6/PSMB5/PSME2/BAK1/PSMB6/E2F1/PSMC3/STAT3/UBA52/PSME1/PSMB4/BAX/CYCS/CASP8/PSME4/PSMD14/PSMD13/HMGB2/PSMD4/YWHAE/YWHAZ/PSMB10/PSMC5/PLEC/CFLAR/MAGED1/PSMA5/PSMA4/PSMA7/ARHGAP10/PSMA6/RIPK1/SEM1"
"R-HSA-5610780","Degradation of GLI1 by the proteasome",56,0.554804841294382,1.85440442056671,0.00035226333323397,0.00387489666557367,0.00305623204409407,3507,"tags=70%, list=25%, signal=52%","PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/PSME4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PRKACA/PSMD2/PSMC2/PSMD12"
"R-HSA-381042","PERK regulates gene expression",30,0.664744662748273,1.9969720029155,0.00035848438875145,0.00389842462819198,0.00307478916173934,1456,"tags=37%, list=10%, signal=33%","CXCL8/ATF3/CEBPB/ATF4/DDIT3/HSPA5/EXOSC9/HERPUD1/DIS3/EXOSC6/CEBPG"
"R-HSA-9013694","Signaling by NOTCH4",77,0.510090371218029,1.83163867691426,0.000359939773909771,0.00389842462819198,0.00307478916173934,3602,"tags=57%, list=26%, signal=43%","PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/SMAD3/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSENEN/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/PSME2/PSMB6/PSMC3/UBA52/PSME1/APH1A/PSMB4/PSMD14/PSMD13/PSMD4/HES1/YWHAZ/PSMB10/PSMC5/NOTCH1/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PSMD2/PSMC2/PSMD12/EP300"
"R-HSA-9678108","SARS-CoV-1 Infection",129,0.442420068043092,1.71402121655274,0.000374201428968235,0.00402195123654408,0.00317221781889504,3862,"tags=56%, list=28%, signal=41%","IRAK2/IFIH1/NFKB1/NFKBIA/NLRP3/MAP1LC3B/KPNA2/UBC/PARP14/CHMP4B/TRIM25/PARP8/SMAD3/YWHAG/PARP9/YWHAH/RPS16/RPS2/YWHAQ/RPS27A/UBB/CHMP2B/FAU/SUMO1/RPS27L/RPS7/RPS15/TRAF6/RPS5/NMI/VHL/RPS28/PPIB/UBA52/EEF1A1/FKBP1A/RPS8/CHMP2A/RPS19/TRAF3/RPS4Y1/ZCRB1/RPS13/RPS12/RPS29/YWHAE/RPS9/YWHAZ/RPS15A/PRKCSH/RPS11/RPS21/RPS25/GALNT1/RPSA/GSK3A/RIPK1/RPS20/PPIA/RPS14/GANAB/RPS10/TBK1/RPS26/UBE2I/RELA/EP300/ST6GALNAC4/CANX/NPM1/KPNB1/RCAN3"
"R-HSA-69563","p53-Dependent G1 DNA Damage Response",61,0.550930241197795,1.85606140487233,0.000396485880447887,0.00419738435842575,0.00331058649681457,3507,"tags=67%, list=25%, signal=51%","PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/ZNF385A/CDKN1B/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/CDKN1A/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/PSME4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PSMD2/PSMC2/PSMD12"
