"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","83/1767","268/9382",0.309701492537313,1.64437996773349,5.155405191577,8.76321051432091e-07,2.78032769954363e-05,1.54299591831105e-05,"ADRM1/APAF1/ATF4/BAX/CALM1/COX4I1/COX5A/COX6A1/COX6B1/COX6C/COX7A2/COX7B/COX8A/CYC1/CYCS/DDIT3/GNAI1/GNAI2/GNAI3/GNAS/HSPA5/ITPR1/ITPR3/KIF5A/KIF5B/LRRK2/MAP3K5/NDUFA4/NDUFA6/NDUFB11/NDUFB9/NDUFS6/NDUFV1/NDUFV2/NDUFV3/NFE2L2/PARK7/PINK1/PPIF/PRKACB/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/RPS27A/RYR3/SDHB/SLC18A2/SLC25A5/SLC39A4/SLC39A7/SLC39A9/TUBB1/TUBB2A/TUBB4B/TUBB6/TXN/TXN2/UBA52/UBB/UBC/UBE2J1/UBE2L6/UCHL1/UQCRB/UQCRC1/UQCRFS1/VDAC1",83
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","106/1767","368/9382",0.28804347826087,1.52938534976994,4.99051011090827,1.43415371651774e-06,4.17099705887243e-05,2.31477441964267e-05,"ACTB/ACTG1/ACTR1A/ACTR1B/ADRM1/ALS2/ALYREF/APAF1/ATF4/ATG13/ATG2B/ATXN2/ATXN2L/BAX/CAT/CHMP2B/COX4I1/COX5A/COX6A1/COX6B1/COX6C/COX7A2/COX7B/COX8A/CYC1/CYCS/DCTN4/DDIT3/DERL1/DNAH2/GLE1/GPX1/GPX7/HAP1/HSPA5/ITPR3/KIF5A/KIF5B/MAP1LC3B/MAP2K3/MAP2K6/MAP3K5/NDUFA4/NDUFA6/NDUFB11/NDUFB9/NDUFS6/NDUFV1/NDUFV2/NDUFV3/NEFH/NRG4/NUP35/NUP43/NUP93/NXF1/NXT1/PFN1/PIK3C3/PINK1/POM121/PPP3CB/PPP3R1/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/RAB1A/RAB39B/RAB5A/RAC1/RAE1/SDHB/SEC13/SMCR8/SPG11/SQSTM1/TANK/TNF/TOMM40/TUBB1/TUBB2A/TUBB4B/TUBB6/UBQLN1/ULK2/UQCRB/UQCRC1/UQCRFS1/VAPB/VDAC1",106
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","54/1767","157/9382",0.343949044585987,1.82621954516453,5.02886517425524,2.3553776056404e-06,6.32328295668076e-05,3.50922655415249e-05,"AKT3/ATM/ATR/BTRC/CACNA1D/CALM1/CXCL8/ETS1/GADD45A/GADD45B/GADD45G/HLA-A/HLA-B/HLA-G/HUS1/ITPR1/ITPR3/KRAS/LIN9/MAP2K2/MAP2K3/MAP2K6/MAPKAPK2/MRE11/MYC/NFATC2/NFATC4/NFKB1/NRAS/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PPP1CA/PPP1CC/PPP3CB/PPP3R1/RAD9B/RASSF5/RBL1/RBL2/RRAS2/SERPINE1/SLC25A5/SMAD2/SMAD3/SQSTM1/TGFB1/TRPM7/TSC1/VDAC1/ZFP36L1/ZFP36L2",54
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","30/1767","70/9382",0.428571428571429,2.27552752849867,5.15970962393965,2.98322376651898e-06,7.43675067510804e-05,4.12716671458266e-05,"AKT3/ARNT/CDC42/CRKL/CUL2/EGLN3/ELOC/ETS1/FLCN/GAB1/GRB2/HIF1A/KRAS/MAP2K2/NRAS/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/RAC1/RAP1A/RAPGEF1/SLC2A1/SOS1/SOS2/TFE3/TGFB1/VEGFA/VHL",30
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","59/1767","180/9382",0.327777777777778,1.74035716531472,4.83108090871594,4.76152710249139e-06,0.000110784863917966,6.14821745163801e-05,"AKT3/ALYREF/APAF1/B2M/BAX/BIRC3/C5/CALR/CCL5/CYCS/EIF2AK2/EIF2B2/FAS/HLA-A/HLA-B/HLA-DRB5/HLA-G/IFIH1/IFNAR1/IFNAR2/IFNGR2/IKBKB/IRAK1/IRAK4/IRF7/IRF9/JAK2/MAVS/MYD88/NECTIN2/NFKB1/NFKBIA/NXF1/OAS3/PDIA3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/POU2F1/PPP1CA/PPP1CC/RNASEL/SOCS3/SRSF2/SRSF9/STAT1/TAB1/TAP1/TAP2/TAPBP/TICAM1/TNF/TNFRSF14/TRAF5/TRAF6/TSC1/ZC3HAV1",59
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","76/1767","250/9382",0.304,1.61410752688172,4.74066604051073,5.43940488755668e-06,0.00011864701910983,6.58454275862124e-05,"ACTR3C/AP2A1/ARAP1/ARF1/ARF3/ARF4/ARF5/ARPC2/ARPC3/ARPC4/ARPC5L/ARRB2/CBLB/CDC42/CHMP2A/CHMP2B/CHMP4B/CHMP4C/CHMP6/CLTA/CLTB/CLTCL1/CYTH3/CYTH4/DAB2/DNAJC6/DNM3/EEA1/EHD1/GBF1/GRK5/HLA-A/HLA-B/HLA-G/HSPA1B/HSPA1L/IGF1R/IL2RA/IL2RG/IQSEC2/KIF5A/KIF5B/LDLR/LDLRAP1/NEDD4/PARD3/PDCD6IP/PIP5K1B/PRKCZ/RAB10/RAB11B/RAB11FIP1/RAB11FIP3/RAB11FIP5/RAB35/RAB5A/RAB5C/RAB7A/RABEP1/RHOA/SH3GL1/SMAD2/SMAD3/SMAP2/SMURF1/SNF8/SNX1/STAM2/TRAF6/VPS29/VPS36/VPS4A/WASHC4/WIPF1/ZFYVE16/ZFYVE9",76
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","39/1767","105/9382",0.371428571428571,1.97212385803218,4.82525602775177,7.54534229008935e-06,0.000154901438778893,8.59655096827517e-05,"AKT3/ARHGEF12/BCL3/CALM1/CBLB/CLEC7A/CYLD/EGR2/IKBKB/IL23A/IRF1/IRF9/ITPR1/ITPR3/KRAS/KSR1/LSP1/MAPKAPK2/NFATC2/NFATC4/NFKB1/NFKB2/NFKBIA/NLRP3/NRAS/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLK3/PPP3CB/PPP3R1/PTGS2/RELB/RHOA/RRAS2/STAT1/TNF",39
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","57/1767","175/9382",0.325714285714286,1.72940092165899,4.69174229457427,8.52161293574398e-06,0.000161465931131047,8.96085999943076e-05,"AMFR/ATF4/ATXN3/BAG1/BAX/CALR/CKAP4/CUL1/DDIT3/DDOST/DERL1/DERL2/DNAJA1/DNAJB1/DNAJB11/DNAJB12/EDEM3/ERO1A/GANAB/HERPUD1/HSP90AA1/HSP90AB1/HSP90B1/HSPA1B/HSPA1L/HSPA5/LMAN2/MAGT1/MAP3K5/MBTPS2/NFE2L2/NGLY1/NPLOC4/OS9/OST4/PDIA3/PLAA/PPP1R15A/PREB/PRKCSH/RAD23B/RNF185/RPN1/RPN2/SEC13/SEC24A/SEC61B/SEC61G/SEL1L/SSR4/UBE2D1/UBE2D2/UBE2D3/UBE2J1/UBQLN1/UBXN2A/YOD1",57
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","76/1767","253/9382",0.300395256916996,1.59496791193846,4.62115025585358,8.79040885813725e-06,0.000161465931131047,8.96085999943076e-05,"ACTB/ACTG1/ACTR3C/AKT3/ARF1/ARPC2/ARPC3/ARPC4/ARPC5L/ATM/BAX/BTRC/CALCOCO2/CAPNS1/CCL5/CD44/CDC42/CRKL/CUL1/CXCL8/CYCS/CYTH3/CYTH4/DOCK1/ELMO2/GLMN/GSK3A/IKBKB/ITPR1/ITPR3/MAP1LC3B/MYD88/MYL12A/NAIP/NFKB1/NFKBIA/NFKBIB/NLRP3/NOD1/PFN1/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLCB2/PLCB3/PLCD1/PLCD3/PRKCQ/RAC1/RHOA/RIPK2/RNF31/ROCK2/RPS27A/RPS6KB2/RRAGB/SQSTM1/TAB1/TIFA/TLN2/TNF/TNIP1/TRAF5/TRAF6/UBA52/UBB/UBC/UBE2D1/UBE2D2/UBE2D3/UBE2N/UBE2NL/VDAC1",76
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","62/1767","196/9382",0.316326530612245,1.67955603293949,4.63124734579905,1.00033771417558e-05,0.000174558931123638,9.6874810214898e-05,"AKT3/BAX/CALM1/CLEC2B/CREB1/CTNNB1/CXCL1/CXCL2/CXCL3/CXCL8/CYCS/EIF2AK2/FAS/GNB1/GNB4/GNG11/GNG5/GNG7/HIF1A/HLA-A/HLA-B/HLA-G/ICAM1/IFNAR1/IFNAR2/IKBKB/IRF7/IRF9/ITPR1/ITPR3/JAK2/KRAS/MAP1LC3B/MAP2K2/MAP2K6/MAPKAPK2/MYC/NFATC2/NFATC4/NFKB1/NFKBIA/NRAS/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PPP3CB/PPP3R1/PTGS2/RAC1/RPS27A/STAT1/STAT3/TCF7/TICAM1/UBA52/UBB/UBC/VEGFA/ZFP36",62
