"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"CLEC4A",14.7708364650047,-0.133821489018355,0.367279815232875,0.544201479615809,0.693028718608821,"Not Significant"
"CLEC5A",45.0271225055828,-0.157364557408896,0.413571635990887,0.432126582677065,0.594404164404197,"Not Significant"
"CLEC7A",29.9663197179985,2.11776778874455,0.562152091324584,8.30752097640171e-06,0.000121613863532218,"Upregulated"
"CLEC9A",193.212312457616,0.265303057351519,0.43186177604465,0.251962269616625,0.413406550330709,"Not Significant"
"CLECL1",40.4641910505863,3.17117516012757,0.93844881345724,2.19956035223896e-05,0.000273610820310412,"Upregulated"
"CLGN",176.212547642158,-0.614344872592876,0.362027222555247,0.0231348541654517,0.0720323552388178,"Not Significant"
"CLHC1",92.8879293157561,-0.763601106868051,0.380724215460233,0.00834793202326919,0.0331143026815473,"Downregulated"
"CLIC1",2480.1219700048,1.04188555710779,0.146393770044807,1.71490603667478e-13,3.59044554183103e-11,"Upregulated"
"CLIC1P1",32.9227348115489,1.24725686866465,0.387483372616104,0.000114230392573821,0.00104733692042192,"Upregulated"
"CLIC2",244.189627234453,-0.566176118977423,0.393008806191122,0.0408835978339306,0.110807888776062,"Not Significant"
"CLIC4",815.099313752352,1.02046899979087,0.216697525951699,3.70963141441775e-07,9.32201503596636e-06,"Upregulated"
"CLINT1",3306.63214344637,0.00838028417064142,0.116433736839506,0.944337674593967,0.96708433682236,"Not Significant"
"CLIP1",1570.22781900147,-0.0228045157308561,0.143201841033913,0.864530800219946,0.919671396238239,"Not Significant"
"CLIP2",2077.52118386398,0.659510701398796,0.192938660171154,0.000220797201872429,0.00181223142237069,"Upregulated"
"CLIP3",277.891604915095,-0.719916539656968,0.470254662528307,0.0214453589683614,0.0680960558271276,"Not Significant"
"CLIP4",351.05872392752,-0.329857610963567,0.264538764779195,0.129891342873603,0.258709328514429,"Not Significant"
"CLK1",3019.68196172332,-0.0943363822349624,0.186736307146277,0.579602955392519,0.721888309725777,"Not Significant"
"CLK2",429.305046610608,-0.409135694596686,0.195882455945871,0.0194497004762564,0.0633188861059301,"Not Significant"
"CLK2P1",48.2744856735811,-0.718989558137498,0.266483787728675,0.00173529562572083,0.00962466107088234,"Downregulated"
"CLK3",1070.69541754314,0.0667921961259023,0.134552190908016,0.603302144998612,0.738701292944802,"Not Significant"
